timestamp,solar_irradiance,wind_speed,temperature,humidity,atmospheric_pressure,grid_load_demand
01-01-2023 00:00,0,18.77028453,18.09490515,53.21560977,1004.872349,294.401249
01-01-2023 01:00,0,6.63860462,11.66904241,63.90699727,1009.493484,185.824084
01-01-2023 02:00,0,14.29674223,12.94582621,26.2341792,970.7530135,347.3635743
01-01-2023 03:00,0,22.35757233,38.47860259,53.16523787,970.8332857,193.6417711
01-01-2023 04:00,0,11.87994299,4.807723413,69.22833048,977.6218169,244.0235719
01-01-2023 05:00,0,23.62793768,21.36622348,48.94358043,1021.172159,73.56216839
01-01-2023 06:00,0,5.361455733,11.00313348,71.15026022,1010.626606,496.6421315
01-01-2023 07:00,911.7991922,1.853977644,-6.942690948,50.60721525,1034.576265,278.4246725
01-01-2023 08:00,207.3324401,22.28634683,14.46654158,40.02396228,979.5658572,60.90691737
01-01-2023 09:00,361.1192822,21.19202995,30.66716645,37.32445424,1041.206806,293.5537964
01-01-2023 10:00,967.2193408,24.8147469,-5.062351566,46.98118531,1024.370616,441.6592997
01-01-2023 11:00,690.7214772,16.9848372,-6.52040763,12.07806604,989.501167,397.6484604
01-01-2023 12:00,409.3370933,23.41719817,-2.31842398,70.16726246,959.5262066,365.4080079
01-01-2023 13:00,253.5928755,20.67372563,28.22000557,86.05950769,975.6983662,112.7590946
01-01-2023 14:00,222.5530724,21.11065833,26.19976921,41.9164385,1045.676822,345.9816855
01-01-2023 15:00,395.7960637,14.22853926,18.25088845,14.14298225,981.0363376,394.8342701
01-01-2023 16:00,905.1886557,9.559114948,13.4113202,98.80980376,982.990096,307.5885788
01-01-2023 17:00,532.7309234,23.36395181,34.41629074,33.73284299,968.9588931,451.737052
01-01-2023 18:00,0,10.80292939,28.33489119,21.39590095,1030.68506,174.6454018
01-01-2023 19:00,0,13.47048418,30.59711257,43.27772572,977.564423,158.9651149
01-01-2023 20:00,0,11.15285768,30.66311507,76.47013366,983.0258248,441.3063852
01-01-2023 21:00,0,14.12045785,22.13585774,36.45249372,991.4348108,331.4292093
01-01-2023 22:00,0,11.76262697,12.90073122,61.72328835,993.372828,50.65124923
01-01-2023 23:00,0,1.199188964,33.23388763,47.4003995,991.134079,208.9091338
02-01-2023 00:00,0,22.05120465,36.30037088,20.5987593,1000.37437,436.0351936
02-01-2023 01:00,0,11.10984547,-8.809697837,39.72583112,1031.451288,62.29378024
02-01-2023 02:00,0,14.72359121,-7.422256337,75.23834551,1031.928504,51.46156772
02-01-2023 03:00,0,3.479695069,37.93716485,65.08035076,1029.831313,176.5666807
02-01-2023 04:00,0,0.0846962,3.858030692,20.78005419,960.1124839,461.3000167
02-01-2023 05:00,0,6.132252341,33.66847198,24.69901687,1029.96788,455.6649117
02-01-2023 06:00,0,17.6146508,9.439755948,67.66600234,962.0251773,283.4428756
02-01-2023 07:00,903.5701548,2.479863253,-4.04499712,83.20738729,962.472377,298.956592
02-01-2023 08:00,528.0190294,22.72218601,-5.97783999,41.45270464,1044.786277,199.4036051
02-01-2023 09:00,585.5959342,5.375564234,-2.174605046,63.57796767,1031.939784,159.6814979
02-01-2023 10:00,256.3685421,5.114840357,2.494659743,25.35792299,1005.241047,416.8498344
02-01-2023 11:00,422.5149124,4.537699041,14.4259177,38.02387032,1037.49702,97.83268722
02-01-2023 12:00,459.6053193,0.349542824,25.07489503,11.82431851,1048.936464,269.3094669
02-01-2023 13:00,956.097959,19.29513671,39.31992882,79.1448353,1011.064207,335.4787668
02-01-2023 14:00,426.1338884,21.87586328,12.07533716,46.09088378,1011.289844,96.65613067
02-01-2023 15:00,568.6949882,15.35406757,15.90924712,83.45130163,1025.442703,283.823193
